pattern_id,concept_id,support,extent_size,intent_size,selection_score,coverage,dominant_class,purity,lift,attributes,intent_indices,lows,highs,pattern_type
0,0,198,198,2,2.233667,0.059513,4,0.875,5.25,"f65in[0.144,1.4];f2594in[0.0723,1]",65;2594,0.144338;0.0723209,1.39707;1,interval
1,1,221,221,2,2.040165,0.066426,4,0.857143,5.142857,"f65in[0.144,1.4];f816in[0.16,0.908]",65;816,0.144338;0.160252,1.39707;0.908114,interval
2,2,169,169,2,2.040165,0.050797,4,0.857143,5.142857,"f65in[0.144,1.4];f169in[0.23,1]",65;169,0.144338;0.230004,1.39707;1,interval
3,3,294,294,2,2.03445,0.088368,5,0.8,4.8,"f1618in[0.0836,1.02];f3472in[0.144,1]",1618;3472,0.0836289;0.144338,1.02316;1,interval
4,4,230,230,2,1.877048,0.069131,1,0.5,3.0,"f1868in[0.204,0.978];f1968in[0.0836,0.884]",1868;1968,0.204124;0.0836289,0.977671;0.883631,interval
5,5,174,174,2,1.855194,0.052299,4,0.777778,4.666667,"f65in[0.144,1.4];f2615in[0.169,1.04]",65;2615,0.144338;0.169194,1.39707;1.03746,interval
6,6,258,258,2,1.833534,0.077547,4,0.833333,5.0,"f65in[0.144,1.4];f2568in[0.208,0.989]",65;2568,0.144338;0.207648,1.39707;0.988642,interval
7,7,239,239,2,1.820386,0.071836,1,0.733333,4.4,"f1868in[0.204,0.978];f3213in[0.0179,1.13]",1868;3213,0.204124;0.0178571,0.977671;1.12522,interval
8,8,249,249,2,1.747147,0.074842,3,0.7,4.2,"f729in[0.212,1.04];f2143in[0.144,1]",729;2143,0.211999;0.144338,1.03746;1,interval
9,9,140,140,2,1.667193,0.04208,1,0.75,4.5,"f1868in[0.204,0.978];f2741in[0.167,1]",1868;2741,0.204124;0.166667,0.977671;1,interval
10,10,188,188,2,1.667193,0.056507,4,0.75,4.5,"f65in[0.144,1.4];f1274in[0.121,1]",65;1274,0.144338;0.120663,1.39707;1,interval
11,11,222,222,2,1.658534,0.066727,1,0.588235,3.529412,"f102in[0.0684,0.831];f1868in[0.204,0.978]",102;1868,0.0684221;0.204124,0.830772;0.977671,interval
12,12,154,154,2,1.611579,0.046288,3,0.8,4.8,"f729in[0.212,1.04];f3644in[0.0747,0.75]",729;3644,0.211999;0.0747462,1.03746;0.75,interval
13,13,163,163,2,1.611579,0.048993,3,0.8,4.8,"f601in[0.289,0.989];f729in[0.212,1.04]",601;729,0.288845;0.211999,0.988642;1.03746,interval
14,14,141,141,2,1.611579,0.042381,1,0.8,4.8,"f102in[0.0684,0.831];f2143in[0.144,1]",102;2143,0.0684221;0.144338,0.830772;1,interval
15,15,145,145,2,1.577493,0.043583,1,0.6,3.6,"f1868in[0.204,0.978];f2563in[0.167,0.954]",1868;2563,0.204124;0.166667,0.977671;0.954124,interval
16,16,207,207,2,1.577493,0.062218,4,0.6,3.6,"f65in[0.144,1.4];f3647in[0.0949,0.871]",65;3647,0.144338;0.0949246,1.39707;0.870791,interval
17,17,240,240,2,1.572931,0.072137,4,0.538462,3.230769,"f65in[0.144,1.4];f200in[0.0543,0.871]",65;200,0.144338;0.0543131,1.39707;0.870791,interval
18,18,836,836,2,1.568733,0.251277,4,0.59375,3.5625,"f65in[0.144,1.4];f2258in[0,0.75]",65;2258,0.144338;0,1.39707;0.75,interval
19,19,840,840,2,1.568733,0.25248,4,0.59375,3.5625,"f65in[0.144,1.4];f3268in[0,0.667]",65;3268,0.144338;0,1.39707;0.666667,interval
20,20,853,853,2,1.568733,0.256387,4,0.59375,3.5625,"f65in[0.144,1.4];f1936in[0,0.954]",65;1936,0.144338;0,1.39707;0.954124,interval
21,21,846,846,2,1.568733,0.254283,4,0.59375,3.5625,"f65in[0.144,1.4];f2683in[0,0.79]",65;2683,0.144338;0,1.39707;0.789575,interval
22,22,856,856,2,1.568733,0.257289,4,0.59375,3.5625,"f65in[0.144,1.4];f3429in[0,1]",65;3429,0.144338;0,1.39707;1,interval
23,23,859,859,2,1.568733,0.258191,4,0.59375,3.5625,"f65in[0.144,1.4];f2185in[0,1.04]",65;2185,0.144338;0,1.39707;1.03746,interval
