pattern_id,concept_id,support,extent_size,intent_size,selection_score,coverage,dominant_class,purity,lift,attributes,intent_indices,lows,highs,pattern_type
0,0,2777,2777,2,3.872983,0.140843,0,1.0,3.0,"f0in[0.0384,0.16];f286in[0,0.269]",0;286,0.0384106;0,0.15983;0.26866,interval
1,1,2762,2762,2,3.872983,0.140082,0,1.0,3.0,"f0in[0.0384,0.16];f409in[0,0.245]",0;409,0.0384106;0,0.15983;0.24524,interval
2,2,2719,2719,2,3.872983,0.137901,0,1.0,3.0,"f0in[0.0384,0.16];f467in[0,0.0985]",0;467,0.0384106;0,0.15983;0.0985498,interval
3,3,2645,2645,2,3.872983,0.134148,0,1.0,3.0,"f0in[0.0384,0.16];f285in[0,0.182]",0;285,0.0384106;0,0.15983;0.181704,interval
4,4,2728,2728,2,3.872983,0.138358,0,1.0,3.0,"f0in[0.0384,0.16];f244in[0,0.0309]",0;244,0.0384106;0,0.15983;0.0308755,interval
5,5,2714,2714,2,3.872983,0.137648,0,1.0,3.0,"f0in[0.0384,0.16];f39in[0,0.142]",0;39,0.0384106;0,0.15983;0.141867,interval
6,6,2731,2731,2,3.872983,0.13851,0,1.0,3.0,"f0in[0.0384,0.16];f277in[0,0.0289]",0;277,0.0384106;0,0.15983;0.0288875,interval
7,7,2514,2514,2,3.872983,0.127504,0,1.0,3.0,"f0in[0.0384,0.16];f490in[0,0.0251]",0;490,0.0384106;0,0.15983;0.0251356,interval
8,8,2730,2730,2,3.872983,0.138459,0,1.0,3.0,"f0in[0.0384,0.16];f350in[0,0.0624]",0;350,0.0384106;0,0.15983;0.0623663,interval
9,9,2760,2760,2,3.872983,0.139981,0,1.0,3.0,"f0in[0.0384,0.16];f40in[0,0.115]",0;40,0.0384106;0,0.15983;0.115377,interval
10,10,2710,2710,2,3.872983,0.137445,0,1.0,3.0,"f0in[0.0384,0.16];f439in[0,0.0437]",0;439,0.0384106;0,0.15983;0.0437123,interval
11,11,2662,2662,2,3.872983,0.13501,0,1.0,3.0,"f0in[0.0384,0.16];f52in[0,0.0795]",0;52,0.0384106;0,0.15983;0.0795388,interval
12,12,2729,2729,2,3.872983,0.138408,0,1.0,3.0,"f0in[0.0384,0.16];f183in[0,0.135]",0;183,0.0384106;0,0.15983;0.134688,interval
13,13,2657,2657,2,3.872983,0.134757,0,1.0,3.0,"f0in[0.0384,0.16];f236in[0,0.065]",0;236,0.0384106;0,0.15983;0.065012,interval
14,14,2670,2670,2,3.872983,0.135416,0,1.0,3.0,"f0in[0.0384,0.16];f452in[0,0.047]",0;452,0.0384106;0,0.15983;0.0469547,interval
15,15,2472,2472,2,3.872983,0.125374,0,1.0,3.0,"f0in[0.0384,0.16];f432in[0,0.0229]",0;432,0.0384106;0,0.15983;0.0229165,interval
16,16,2777,2777,2,3.872983,0.140843,0,1.0,3.0,"f0in[0.0384,0.16];f469in[0,0.181]",0;469,0.0384106;0,0.15983;0.181393,interval
17,17,2670,2670,2,3.872983,0.135416,0,1.0,3.0,"f0in[0.0384,0.16];f311in[0,0.0557]",0;311,0.0384106;0,0.15983;0.0557299,interval
18,18,2707,2707,2,3.872983,0.137293,0,1.0,3.0,"f0in[0.0384,0.16];f411in[0,0.0599]",0;411,0.0384106;0,0.15983;0.0599148,interval
19,19,2702,2702,2,3.872983,0.137039,0,1.0,3.0,"f0in[0.0384,0.16];f198in[0,0.0535]",0;198,0.0384106;0,0.15983;0.053533,interval
20,20,2774,2774,2,3.872983,0.140691,0,1.0,3.0,"f0in[0.0384,0.16];f360in[0,0.201]",0;360,0.0384106;0,0.15983;0.200533,interval
21,21,2668,2668,2,3.872983,0.135315,0,1.0,3.0,"f0in[0.0384,0.16];f456in[0,0.0529]",0;456,0.0384106;0,0.15983;0.0529372,interval
22,22,2755,2755,2,3.872983,0.139727,0,1.0,3.0,"f0in[0.0384,0.16];f347in[0,0.0529]",0;347,0.0384106;0,0.15983;0.0529419,interval
23,23,2722,2722,2,3.872983,0.138053,0,1.0,3.0,"f0in[0.0384,0.16];f345in[0,0.121]",0;345,0.0384106;0,0.15983;0.120699,interval
24,24,2773,2773,2,3.872983,0.14064,0,1.0,3.0,"f0in[0.0384,0.16];f493in[0,0.0531]",0;493,0.0384106;0,0.15983;0.0530848,interval
25,25,2589,2589,2,3.872983,0.131308,0,1.0,3.0,"f0in[0.0384,0.16];f317in[0,0.0232]",0;317,0.0384106;0,0.15983;0.02316,interval
26,26,2762,2762,2,3.872983,0.140082,0,1.0,3.0,"f0in[0.0384,0.16];f177in[0,0.152]",0;177,0.0384106;0,0.15983;0.151842,interval
27,27,2743,2743,2,3.872983,0.139119,0,1.0,3.0,"f0in[0.0384,0.16];f492in[0,0.0829]",0;492,0.0384106;0,0.15983;0.0828902,interval
28,28,2708,2708,2,3.872983,0.137343,0,1.0,3.0,"f0in[0.0384,0.16];f92in[0,0.0942]",0;92,0.0384106;0,0.15983;0.0942084,interval
29,29,2766,2766,2,3.872983,0.140285,0,1.0,3.0,"f0in[0.0384,0.16];f449in[0,0.112]",0;449,0.0384106;0,0.15983;0.111902,interval
30,30,2750,2750,2,3.872983,0.139474,0,1.0,3.0,"f0in[0.0384,0.16];f214in[0,0.04]",0;214,0.0384106;0,0.15983;0.0399801,interval
31,31,2743,2743,2,3.872983,0.139119,0,1.0,3.0,"f0in[0.0384,0.16];f433in[0,0.102]",0;433,0.0384106;0,0.15983;0.102255,interval
32,32,2774,2774,2,3.872983,0.140691,0,1.0,3.0,"f0in[0.0384,0.16];f498in[0,0.474]",0;498,0.0384106;0,0.15983;0.474356,interval
33,33,2730,2730,2,3.872983,0.138459,0,1.0,3.0,"f0in[0.0384,0.16];f176in[0,0.0333]",0;176,0.0384106;0,0.15983;0.0332751,interval
34,34,2578,2578,2,3.872983,0.13075,0,1.0,3.0,"f0in[0.0384,0.16];f389in[0,0.0396]",0;389,0.0384106;0,0.15983;0.0396388,interval
35,35,2762,2762,2,3.872983,0.140082,0,1.0,3.0,"f0in[0.0384,0.16];f353in[0,0.144]",0;353,0.0384106;0,0.15983;0.143536,interval
36,36,2747,2747,2,3.872983,0.139321,0,1.0,3.0,"f0in[0.0384,0.16];f351in[0,0.0808]",0;351,0.0384106;0,0.15983;0.080809,interval
37,37,2743,2743,2,3.872983,0.139119,0,1.0,3.0,"f0in[0.0384,0.16];f471in[0,0.0909]",0;471,0.0384106;0,0.15983;0.0909163,interval
38,38,2740,2740,2,3.872983,0.138966,0,1.0,3.0,"f0in[0.0384,0.16];f371in[0,0.0508]",0;371,0.0384106;0,0.15983;0.0507739,interval
39,39,1478,1478,2,3.162278,0.074961,0,1.0,3.0,"f0in[0.0384,0.16];f184in[0.00245,0.134]",0;184,0.0384106;0.00245111,0.15983;0.133945,interval
40,40,930,930,2,3.0,0.047167,0,1.0,3.0,"f0in[0.0384,0.16];f93in[0.00402,0.174]",0;93,0.0384106;0.00402105,0.15983;0.173565,interval
41,41,1099,1099,2,2.828427,0.055739,0,1.0,3.0,"f0in[0.0384,0.16];f23in[0.00142,0.0415]",0;23,0.0384106;0.00141796,0.15983;0.0414627,interval
42,42,957,957,2,2.828427,0.048537,0,1.0,3.0,"f0in[0.0384,0.16];f54in[0.00953,0.0537]",0;54,0.0384106;0.00952688,0.15983;0.0537227,interval
43,43,833,833,2,2.645751,0.042248,0,1.0,3.0,"f0in[0.0384,0.16];f283in[0.00122,0.0499]",0;283,0.0384106;0.00122059,0.15983;0.0499335,interval
44,44,2698,2698,2,2.488672,0.136836,0,0.866667,2.6,"f184in[0.00245,0.134];f371in[0,0.0508]",184;371,0.00245111;0,0.133945;0.0507739,interval
45,45,2717,2717,2,2.488672,0.1378,0,0.866667,2.6,"f31in[0,0.127];f184in[0.00245,0.134]",31;184,0;0.00245111,0.126544;0.133945,interval
46,46,1040,1040,2,2.44949,0.052746,0,1.0,3.0,"f0in[0.0384,0.16];f110in[0.00539,0.108]",0;110,0.0384106;0.00539418,0.15983;0.107834,interval
47,47,923,923,2,2.44949,0.046812,1,1.0,3.0,"f13in[0.00481,0.0452];f346in[0.000978,0.138]",13;346,0.00481295;0.000977771,0.0452429;0.13785,interval
48,48,570,570,2,2.44949,0.028909,0,1.0,3.0,"f0in[0.0384,0.16];f119in[3.17e-05,0.104]",0;119,0.0384106;3.17351e-05,0.15983;0.103534,interval
49,49,583,583,2,2.44949,0.029568,0,1.0,3.0,"f0in[0.0384,0.16];f187in[0.00095,0.0309]",0;187,0.0384106;0.00094977,0.15983;0.0308724,interval
50,50,750,750,2,2.44949,0.038038,0,1.0,3.0,"f0in[0.0384,0.16];f164in[0.0013,0.199]",0;164,0.0384106;0.00130066,0.15983;0.199476,interval
51,51,488,488,2,2.44949,0.02475,0,1.0,3.0,"f0in[0.0384,0.16];f123in[0.0189,0.083]",0;123,0.0384106;0.0188828,0.15983;0.0830422,interval
52,52,841,841,2,2.44949,0.042654,0,1.0,3.0,"f33in[0.0063,0.102];f54in[0.00953,0.0537]",33;54,0.00630034;0.00952688,0.1024;0.0537227,interval
53,53,1017,1017,2,2.44949,0.05158,0,1.0,3.0,"f8in[0.00512,0.118];f82in[0.00246,0.0558]",8;82,0.00511768;0.00245862,0.11764;0.0557644,interval
54,54,417,417,2,2.44949,0.021149,0,1.0,3.0,"f0in[0.0384,0.16];f323in[0.00365,0.0781]",0;323,0.0384106;0.00364932,0.15983;0.0780663,interval
55,55,802,802,2,2.44949,0.040676,0,1.0,3.0,"f21in[0.00535,0.0386];f54in[0.00953,0.0537]",21;54,0.00535304;0.00952688,0.0385557;0.0537227,interval
56,56,892,892,2,2.236068,0.04524,0,1.0,3.0,"f0in[0.0384,0.16];f348in[0.00056,0.0727]",0;348,0.0384106;0.000559668,0.15983;0.0726944,interval
57,57,1142,1142,2,2.236068,0.05792,2,1.0,3.0,"f196in[0.0137,0.192];f380in[0.00229,0.0567]",196;380,0.0136722;0.00228911,0.19212;0.0567465,interval
58,58,957,957,2,2.236068,0.048537,0,1.0,3.0,"f0in[0.0384,0.16];f173in[0.000143,0.0598]",0;173,0.0384106;0.000142968,0.15983;0.0598366,interval
59,59,844,844,2,2.236068,0.042806,0,1.0,3.0,"f0in[0.0384,0.16];f273in[0.00439,0.0965]",0;273,0.0384106;0.00439335,0.15983;0.0965394,interval
60,60,1506,1506,2,2.047438,0.076381,0,0.888889,2.666667,"f248in[0.00942,0.0759];f273in[0.00439,0.0965]",248;273,0.00942105;0.00439335,0.0758598;0.0965394,interval
61,61,885,885,2,2.0,0.044885,1,1.0,3.0,"f123in[0.0189,0.083];f326in[0.00014,0.0743]",123;326,0.0188828;0.000139787,0.0830422;0.0742645,interval
62,62,600,600,2,2.0,0.030431,0,1.0,3.0,"f0in[0.0384,0.16];f83in[0.00362,0.0593]",0;83,0.0384106;0.00362135,0.15983;0.059265,interval
63,63,1733,1733,2,2.0,0.087894,1,1.0,3.0,"f10in[0.00542,0.0428];f329in[0.00112,0.117]",10;329,0.00541921;0.00111746,0.0428466;0.117036,interval
64,64,509,509,2,1.732051,0.025815,0,1.0,3.0,"f0in[0.0384,0.16];f307in[0.000803,0.0367]",0;307,0.0384106;0.000802759,0.15983;0.0366786,interval
65,65,950,950,2,1.732051,0.048182,0,1.0,3.0,"f119in[3.17e-05,0.104];f306in[0.00102,0.198]",119;306,3.17351e-05;0.00101828,0.103534;0.197875,interval
66,66,781,781,2,1.732051,0.03961,0,1.0,3.0,"f0in[0.0384,0.16];f204in[0.00723,0.0456]",0;204,0.0384106;0.00722552,0.15983;0.0456371,interval
67,67,458,458,2,1.732051,0.023229,0,1.0,3.0,"f0in[0.0384,0.16];f138in[0.00391,0.0749]",0;138,0.0384106;0.00391029,0.15983;0.0749435,interval
68,68,683,683,2,1.732051,0.03464,0,1.0,3.0,"f0in[0.0384,0.16];f378in[0.00676,0.0938]",0;378,0.0384106;0.00675683,0.15983;0.0937554,interval
69,69,688,688,2,1.732051,0.034894,0,1.0,3.0,"f32in[0.0186,0.177];f67in[0.00756,0.0582]",32;67,0.0185824;0.00756467,0.177467;0.0582293,interval
70,70,2254,2254,2,1.660108,0.114318,1,0.8,2.4,"f239in[0.0027,0.0723];f381in[0,0.0333]",239;381,0.0026955;0,0.0723088;0.0333164,interval
71,71,2450,2450,2,1.660108,0.124258,1,0.8,2.4,"f34in[0,0.167];f239in[0.0027,0.0723]",34;239,0;0.0026955,0.166603;0.0723088,interval
72,72,880,880,2,1.658082,0.044632,0,0.857143,2.571429,"f8in[0.00512,0.118];f25in[0.0139,0.0795]",8;25,0.00511768;0.0139081,0.11764;0.0794941,interval
73,73,2163,2163,2,1.658082,0.109702,2,0.857143,2.571429,"f89in[0.0161,0.0759];f90in[0.00328,0.0325]",89;90,0.0161029;0.00328458,0.0759466;0.0325061,interval
74,74,3903,3903,2,1.658082,0.197951,1,0.857143,2.571429,"f219in[0.00367,0.073];f329in[0.00112,0.117]",219;329,0.00367448;0.00111746,0.0729791;0.117036,interval
75,75,4523,4523,2,1.658082,0.229396,1,0.857143,2.571429,"f201in[0.00502,0.0466];f329in[0.00112,0.117]",201;329,0.00502487;0.00111746,0.0465515;0.117036,interval
76,76,2784,2784,2,1.629054,0.141198,0,0.666667,2.0,"f25in[0.0139,0.0795];f214in[0,0.04]",25;214,0.0139081;0,0.0794941;0.0399801,interval
77,77,2761,2761,2,1.629054,0.140031,0,0.666667,2.0,"f25in[0.0139,0.0795];f456in[0,0.0529]",25;456,0.0139081;0,0.0794941;0.0529372,interval
78,78,2015,2015,2,1.629054,0.102196,0,0.666667,2.0,"f171in[0.000138,0.0877];f447in[0,0.23]",171;447,0.000137839;0,0.0876843;0.230454,interval
79,79,1936,1936,2,1.629054,0.098189,0,0.666667,2.0,"f170in[0,0.0335];f171in[0.000138,0.0877]",170;171,0;0.000137839,0.0334568;0.0876843,interval
80,80,2012,2012,2,1.629054,0.102044,0,0.666667,2.0,"f171in[0.000138,0.0877];f418in[0,0.202]",171;418,0.000137839;0,0.0876843;0.201949,interval
81,81,2008,2008,2,1.629054,0.101841,0,0.666667,2.0,"f171in[0.000138,0.0877];f235in[0,0.136]",171;235,0.000137839;0,0.0876843;0.135802,interval
82,82,1952,1952,2,1.629054,0.099001,0,0.666667,2.0,"f171in[0.000138,0.0877];f345in[0,0.121]",171;345,0.000137839;0,0.0876843;0.120699,interval
83,83,1997,1997,2,1.629054,0.101283,0,0.666667,2.0,"f171in[0.000138,0.0877];f420in[0,0.0968]",171;420,0.000137839;0,0.0876843;0.0968287,interval
84,84,2009,2009,2,1.629054,0.101892,0,0.666667,2.0,"f171in[0.000138,0.0877];f433in[0,0.102]",171;433,0.000137839;0,0.0876843;0.102255,interval
