dataset,experiment,model,variant,added_dim,bucket,accuracy_mean,accuracy_std,macro_f1_mean
citeseer,citeseer_sage_svd_k64,graphsage,svd_control,64,low,0.6464379947229552,0.01668748105629754,0.6127732792499794
citeseer,citeseer_sage_svd_k64,graphsage,svd_control,64,medium,0.7253886010362695,0.014377654845089733,0.6924087285614431
citeseer,citeseer_sage_svd_k64,graphsage,svd_control,64,high,0.7940425531914894,0.011290637584188575,0.7301714925436178
citeseer,citeseer_sage_fca_k64_support_hard,graphsage,fca_feat,64,low,0.6284960422163588,0.02019116250101211,0.5821951167339624
citeseer,citeseer_sage_fca_k64_support_hard,graphsage,fca_feat,64,medium,0.7191709844559585,0.010942337866291618,0.6825800324031992
citeseer,citeseer_sage_fca_k64_support_hard,graphsage,fca_feat,64,high,0.7838297872340425,0.014838804914180978,0.7086053412223869
citeseer,citeseer_sage_svd_k32,graphsage,svd_control,32,low,0.6411609498680739,0.009872446930801911,0.6125599437029058
citeseer,citeseer_sage_svd_k32,graphsage,svd_control,32,medium,0.705699481865285,0.011883259006403867,0.6756090034057294
citeseer,citeseer_sage_svd_k32,graphsage,svd_control,32,high,0.7710638297872341,0.0200316634824508,0.7012003827055688
citeseer,citeseer_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,low,0.6195250659630607,0.016299150618976792,0.5908332752423487
citeseer,citeseer_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,medium,0.716062176165803,0.00812662546184361,0.6875065516455725
citeseer,citeseer_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,high,0.7846808510638298,0.0175657595238726,0.7167771259307718
citeseer,citeseer_sage_fca_k128_lift_hard,graphsage,fca_feat,128,low,0.6147757255936676,0.024751534352630226,0.5826071430456243
citeseer,citeseer_sage_fca_k128_lift_hard,graphsage,fca_feat,128,medium,0.7108808290155441,0.013371490052397865,0.6786192594636169
citeseer,citeseer_sage_fca_k128_lift_hard,graphsage,fca_feat,128,high,0.788936170212766,0.005772195730319375,0.7145236740768734
citeseer,citeseer_sage_fca_k128_support_hard,graphsage,fca_feat,128,low,0.6221635883905013,0.012642900845077526,0.5902922432053932
citeseer,citeseer_sage_fca_k128_support_hard,graphsage,fca_feat,128,medium,0.7155440414507772,0.005023502442918494,0.6865746247983885
citeseer,citeseer_sage_fca_k128_support_hard,graphsage,fca_feat,128,high,0.7676595744680851,0.00789244127276231,0.7045896753484933
citeseer,citeseer_sage_fca_k128_support_soft,graphsage,fca_feat,128,low,0.6221635883905013,0.012642900845077526,0.5902922432053932
citeseer,citeseer_sage_fca_k128_support_soft,graphsage,fca_feat,128,medium,0.7155440414507772,0.005023502442918494,0.6865746247983885
citeseer,citeseer_sage_fca_k128_support_soft,graphsage,fca_feat,128,high,0.7676595744680851,0.00789244127276231,0.7045896753484933
citeseer,citeseer_sage_svd_k128,graphsage,svd_control,128,low,0.6158311345646438,0.015707520914128976,0.581989513897531
citeseer,citeseer_sage_svd_k128,graphsage,svd_control,128,medium,0.7155440414507772,0.015141595021971448,0.6852195857691274
citeseer,citeseer_sage_svd_k128,graphsage,svd_control,128,high,0.7778723404255319,0.014592704850623216,0.7119121670286024
citeseer,citeseer_sage_fca_k32_support_hard,graphsage,fca_feat,32,low,0.6116094986807388,0.02133127486164403,0.5773440121396979
citeseer,citeseer_sage_fca_k32_support_hard,graphsage,fca_feat,32,medium,0.7108808290155441,0.013669332599246548,0.6787071310068908
citeseer,citeseer_sage_fca_k32_support_hard,graphsage,fca_feat,32,high,0.7804255319148936,0.019518885006263344,0.7144566412185279
citeseer,citeseer_sage_svd_k256,graphsage,svd_control,256,low,0.6058047493403694,0.005170426897695339,0.5744375978304527
citeseer,citeseer_sage_svd_k256,graphsage,svd_control,256,medium,0.7093264248704663,0.01641759535518635,0.6761242154745574
citeseer,citeseer_sage_svd_k256,graphsage,svd_control,256,high,0.7812765957446809,0.00992502450186436,0.7068072045437283
citeseer,citeseer_sage_fca_k256_support_hard,graphsage,fca_feat,256,low,0.6195250659630608,0.015055770572756835,0.5917251377223833
citeseer,citeseer_sage_fca_k256_support_hard,graphsage,fca_feat,256,medium,0.7005181347150259,0.018362741084631415,0.6691264675106952
citeseer,citeseer_sage_fca_k256_support_hard,graphsage,fca_feat,256,high,0.7736170212765957,0.013563725489795122,0.7058227983896209
citeseer,citeseer_sage_raw,graphsage,raw,0,low,0.6121372031662269,0.014547808709330059,0.5771195848152286
citeseer,citeseer_sage_raw,graphsage,raw,0,medium,0.6989637305699482,0.008731761422980698,0.664033215931782
citeseer,citeseer_sage_raw,graphsage,raw,0,high,0.7719148936170213,0.009925024501864353,0.6899179877571471
citeseer,citeseer_mlp_raw,mlp,raw,0,low,0.49182058047493393,0.00938068012381593,0.4656576207970682
citeseer,citeseer_mlp_raw,mlp,raw,0,medium,0.549740932642487,0.009609967352845262,0.52410982634515
citeseer,citeseer_mlp_raw,mlp,raw,0,high,0.6357446808510638,0.01672075123777744,0.5730678245001491
cora,cora_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,low,0.7725,0.013038404810405309,0.7457975739865053
cora,cora_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,medium,0.8367816091954022,0.003351121778646731,0.8310007112503655
cora,cora_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,high,0.85,0.008093681767607636,0.846258607677588
cora,cora_sage_svd_k64,graphsage,svd_control,64,low,0.7575000000000001,0.012942179105544769,0.7327729086579533
cora,cora_sage_svd_k64,graphsage,svd_control,64,medium,0.8511494252873563,0.011407720253608747,0.8471414326506828
cora,cora_sage_svd_k64,graphsage,svd_control,64,high,0.8444444444444444,0.013137258220037213,0.8415405460888209
cora,cora_sage_svd_k128,graphsage,svd_control,128,low,0.7605,0.00291547594742267,0.7406243179304983
cora,cora_sage_svd_k128,graphsage,svd_control,128,medium,0.8425287356321839,0.013029636837648965,0.8403509399303852
cora,cora_sage_svd_k128,graphsage,svd_control,128,high,0.85,0.0029695693545824823,0.8527746682841564
cora,cora_sage_fca_group,graphsage,fca_group,32,low,0.768,0.009669539802906845,0.7440876200645488
cora,cora_sage_fca_group,graphsage,fca_group,32,medium,0.8350574712643677,0.007178158618848702,0.8312749617396623
cora,cora_sage_fca_group,graphsage,fca_group,32,high,0.846031746031746,0.010163689265766435,0.8442509501216646
cora,cora_sage_svd_k32,graphsage,svd_control,32,low,0.7595,0.010770329614268954,0.7378867381017833
cora,cora_sage_svd_k32,graphsage,svd_control,32,medium,0.8385057471264368,0.0073599129165895305,0.834720002814543
cora,cora_sage_svd_k32,graphsage,svd_control,32,high,0.8436507936507937,0.008171135032529328,0.839349998732539
