dataset,experiment,model,variant,added_dim,k_concepts,scorer,membership,test_accuracy_mean,test_macro_f1_mean,d_acc_vs_sage_raw,d_mf1_vs_sage_raw,d_acc_vs_mlp_raw,d_mf1_vs_mlp_raw,d_acc_vs_svd_kmatched,d_mf1_vs_svd_kmatched,svd_matched_added_dim
citeseer,citeseer_sage_svd_k64,graphsage,svd_control,64,na,na,na,0.7116,0.6756884,0.0284,0.033091,0.1636,0.155327,0.0,0.0,64.0
citeseer,scaling_ext__citeseer_qglobal_q090_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.7028,0.6669416,0.0196,0.024344,0.1548,0.146581,0.0104,0.010047,128.0
citeseer,citeseer_sage_fca_k64_support_hard,graphsage,fca_feat,64,64.0,support,hard,0.7,0.6562926,0.0168,0.013695,0.152,0.135932,-0.0116,-0.019396,64.0
citeseer,citeseer_sage_svd_k32,graphsage,svd_control,32,na,na,na,0.6965999999999999,0.6633078,0.0134,0.020711,0.1486,0.142947,0.0,0.0,32.0
citeseer,scaling_ext__citeseer_qglobal_q090_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.696,0.6558654,0.0128,0.013268,0.148,0.135504,0.0036,-0.00103,128.0
citeseer,citeseer_sage_fca_k128_target_entropy_hard,graphsage,fca_feat,128,128.0,target_entropy,hard,0.6956,0.6624196,0.0124,0.019822,0.1476,0.142059,0.0032,0.005525,128.0
citeseer,citeseer_sage_fca_k128_lift_hard,graphsage,fca_feat,128,128.0,lift,hard,0.6928,0.6540496,0.0096,0.011452,0.1448,0.133689,0.0004,-0.002845,128.0
citeseer,citeseer_sage_fca_k128_support_hard,graphsage,fca_feat,128,128.0,support,hard,0.6923999999999999,0.6584908,0.0092,0.015894,0.1444,0.13813,0.0,0.001596,128.0
citeseer,citeseer_sage_fca_k128_support_soft,graphsage,fca_feat,128,128.0,support,soft,0.6923999999999999,0.6584908,0.0092,0.015894,0.1444,0.13813,0.0,0.001596,128.0
citeseer,citeseer_sage_svd_k128,graphsage,svd_control,128,na,na,na,0.6923999999999999,0.656895,0.0092,0.014298,0.1444,0.136534,0.0,0.0,128.0
citeseer,citeseer_sage_fca_k32_support_hard,graphsage,fca_feat,32,32.0,support,hard,0.6896,0.6535748,0.0064,0.010978,0.1416,0.133214,-0.007,-0.009733,32.0
citeseer,citeseer_sage_svd_k256,graphsage,svd_control,256,na,na,na,0.687,0.650506,0.0038,0.007909,0.139,0.130145,0.0,0.0,256.0
citeseer,citeseer_sage_fca_k256_support_hard,graphsage,fca_feat,256,256.0,support,hard,0.6869999999999999,0.6527192,0.0038,0.010122,0.139,0.132358,-0.0,0.002213,256.0
