experiment,dataset,model,variant,feature_variant,seed,raw_dim,added_dim,total_dim,hidden_channels,num_layers,dropout,aggr,lr,weight_decay,k_concepts,scorer,membership,min_intent_size,mean_intent_size,svd_components,best_epoch,epochs_ran,train_time_sec,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,low_degree_accuracy,low_degree_macro_f1,num_concepts,node_coverage,test_per_class_f1,bucket_low_accuracy,bucket_low_macro_f1,bucket_low_count,bucket_medium_accuracy,bucket_medium_macro_f1,bucket_medium_count,bucket_high_accuracy,bucket_high_macro_f1,bucket_high_count,degree_thr_low,degree_thr_high,binarize_mode,binarize_params,mean_extent_size
cora_logreg_raw,cora,logreg,raw,raw,0,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,21,71,1.525,0.482,0.46824,0.48,0.47219,0.47,0.4453284440938809,,,"[0.491582, 0.468468, 0.501695, 0.476386, 0.526946, 0.437811, 0.402439]",0.47,0.4453284440938809,400,0.4827586206896552,0.476553667860279,348,0.492063492063492,0.4902434839787858,252,2.0,4.0,,,
cora_logreg_raw,cora,logreg,raw,raw,1,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,15,65,1.298,0.486,0.475875,0.474,0.467377,0.47,0.4484298520431892,,,"[0.454237, 0.475336, 0.479452, 0.478873, 0.540881, 0.42, 0.422857]",0.47,0.4484298520431892,400,0.4741379310344827,0.4739401461195202,348,0.4801587301587302,0.4791845919200899,252,2.0,4.0,,,
cora_logreg_raw,cora,logreg,raw,raw,2,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,14,64,1.298,0.484,0.474162,0.46,0.450778,0.4575,0.4333350847846577,,,"[0.442177, 0.429185, 0.506757, 0.478873, 0.493506, 0.414141, 0.390805]",0.4575,0.4333350847846577,400,0.4540229885057471,0.4483195128726068,348,0.4722222222222222,0.4660867079714636,252,2.0,4.0,,,
cora_logreg_raw,cora,logreg,raw,raw,3,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,15,65,1.3,0.492,0.474085,0.465,0.455441,0.4625,0.4383308360399162,,,"[0.464052, 0.394737, 0.513889, 0.465306, 0.528529, 0.423913, 0.397661]",0.4625,0.4383308360399162,400,0.4655172413793103,0.4593513688715968,348,0.4682539682539682,0.4605865399030127,252,2.0,4.0,,,
cora_logreg_raw,cora,logreg,raw,raw,4,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,33,83,1.668,0.48,0.465652,0.47,0.463412,0.46,0.4439683156847254,,,"[0.468227, 0.478261, 0.52, 0.444906, 0.522255, 0.435233, 0.375]",0.46,0.4439683156847254,400,0.4712643678160919,0.4633667291111494,348,0.4841269841269841,0.4807504903034353,252,2.0,4.0,,,
cora_mlp_raw,cora,mlp,raw,raw,0,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,14,64,3.06,0.574,0.566888,0.563,0.553542,0.565,0.5341264747520392,,,"[0.489655, 0.576271, 0.6171, 0.600775, 0.595156, 0.508333, 0.4875]",0.565,0.5341264747520392,400,0.5603448275862069,0.5543443544970167,348,0.5634920634920635,0.5641476565427757,252,2.0,4.0,,,
cora_mlp_raw,cora,mlp,raw,raw,1,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,17,67,3.174,0.578,0.565474,0.566,0.553207,0.555,0.5236694487486687,,,"[0.472603, 0.603015, 0.626984, 0.613936, 0.61875, 0.497854, 0.439306]",0.555,0.5236694487486687,400,0.5747126436781609,0.5671828434795849,348,0.5714285714285714,0.5699718115488823,252,2.0,4.0,,,
cora_mlp_raw,cora,mlp,raw,raw,2,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,9,59,2.835,0.606,0.596791,0.584,0.564666,0.5925,0.554191805910984,,,"[0.474684, 0.585366, 0.634921, 0.652246, 0.611296, 0.505263, 0.488889]",0.5925,0.554191805910984,400,0.5862068965517241,0.5731318797543272,348,0.5674603174603174,0.5607927993718907,252,2.0,4.0,,,
cora_mlp_raw,cora,mlp,raw,raw,3,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,21,71,3.48,0.586,0.5747,0.573,0.560898,0.5625,0.5348477097924008,,,"[0.487273, 0.572687, 0.607843, 0.619883, 0.605263, 0.519824, 0.513514]",0.5625,0.5348477097924008,400,0.5862068965517241,0.5764588571569308,348,0.5714285714285714,0.5677778179065645,252,2.0,4.0,,,
cora_mlp_raw,cora,mlp,raw,raw,4,1433,0,1433,128,2,0.5,,0.005,0.0005,,,,,,,16,66,3.595,0.586,0.57161,0.572,0.55764,0.5675,0.5342113749609274,,,"[0.49505, 0.570093, 0.613718, 0.631957, 0.589552, 0.513043, 0.490066]",0.5675,0.5342113749609274,400,0.5804597701149425,0.567251645402906,348,0.5674603174603174,0.5702003765813836,252,2.0,4.0,,,
