dataset,binarize_mode,quantile,topk,smooth_alpha,num_nodes,num_features,context_density,mean_active_attrs_per_node,median_active_attrs_per_node,num_concepts,mean_intent_size,median_intent_size,max_intent_size,n_single_attr,n_multi_attr,frac_multi_attr,mean_extent_size,median_extent_size,node_coverage,mean_purity,mean_lift
cora,binary_nonzero,,,,2708,1433,0.031084,14.0499,15.0,128,1.0391,1.0,2,123,5,0.0391,180.9375,139.5,0.9922,0.4215,2.9508
cora,quantile_global,0.75,,,2708,1433,0.337149,1.0114,1.0,7,1.7143,2.0,3,3,4,0.5714,556.0,428.0,0.6802,0.3146,2.2021
cora,quantile_global,0.9,,,2708,1433,0.16172,2.5875,3.0,128,2.1797,2.0,3,16,112,0.875,129.4609,68.5,0.918,0.5279,3.6953
cora,topk_per_node,,10,,2708,1433,0.026075,5.8408,6.0,128,1.0312,1.0,2,124,4,0.0312,99.0312,68.5,0.9874,0.542,3.7938
cora,topk_per_node,,20,,2708,1433,0.030299,12.9679,14.0,128,1.0391,1.0,2,123,5,0.0391,169.9141,133.0,0.9919,0.4418,3.0926
cora,quantile_topk,0.75,10,,2708,1433,0.026075,5.8408,6.0,128,1.0312,1.0,2,124,4,0.0312,99.0312,68.5,0.9874,0.542,3.7938
cora,quantile_topk,0.9,10,,2708,1433,0.026075,5.8408,6.0,128,1.0312,1.0,2,124,4,0.0312,99.0312,68.5,0.9874,0.542,3.7938
citeseer,binary_nonzero,,,,3327,3703,0.038875,19.9038,20.0,128,1.0,1.0,1,128,0,0.0,280.3594,241.0,0.9955,0.4476,2.6859
citeseer,quantile_global,0.75,,,3327,3703,0.0,0.0,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
citeseer,quantile_global,0.9,,,3327,3703,0.126345,5.0538,5.0,128,1.7734,2.0,4,40,88,0.6875,188.5312,89.5,0.9883,0.5539,3.3234
citeseer,topk_per_node,,10,,3327,3703,0.023001,4.5311,5.0,128,1.0,1.0,1,128,0,0.0,95.6328,73.0,0.9859,0.4931,2.9586
citeseer,topk_per_node,,20,,3327,3703,0.028218,11.908,12.0,128,1.0,1.0,1,128,0,0.0,182.5547,145.5,0.9952,0.4745,2.8472
citeseer,quantile_topk,0.75,10,,3327,3703,0.023001,4.5311,5.0,128,1.0,1.0,1,128,0,0.0,95.6328,73.0,0.9859,0.4931,2.9586
citeseer,quantile_topk,0.9,10,,3327,3703,0.023001,4.5311,5.0,128,1.0,1.0,1,128,0,0.0,95.6328,73.0,0.9859,0.4931,2.9586
pubmed,binary_nonzero,,,,19717,500,0.095684,47.3635,47.0,128,1.0,1.0,1,128,0,0.0,3921.6641,3313.5,1.0,0.5274,1.5823
pubmed,quantile_global,0.75,,,19717,500,0.223464,7.3743,7.0,128,2.2109,2.0,4,33,95,0.7422,1784.6797,866.5,0.9989,0.6409,1.9227
pubmed,quantile_global,0.9,,,19717,500,0.089113,16.3968,16.0,128,1.0,1.0,1,128,0,0.0,2069.375,1933.0,1.0,0.5884,1.7651
pubmed,topk_per_node,,10,,19717,500,0.022444,9.4266,10.0,128,1.0,1.0,1,128,0,0.0,715.7891,596.0,0.9952,0.6668,2.0004
pubmed,topk_per_node,,20,,19717,500,0.040173,19.8855,20.0,128,1.0,1.0,1,128,0,0.0,1271.1484,1059.5,0.9998,0.6966,2.0898
pubmed,quantile_topk,0.75,10,,19717,500,0.022444,9.4266,10.0,128,1.0,1.0,1,128,0,0.0,715.7891,596.0,0.9952,0.6668,2.0004
pubmed,quantile_topk,0.9,10,,19717,500,0.022008,9.2432,9.0,128,1.0,1.0,1,128,0,0.0,687.7031,595.0,0.9946,0.6707,2.0121
